timestamp;server.timestamp;ident;position.latitude;position.longitude;position.altitude;position.speed;position.direction;movement.status;x.acceleration;y.acceleration;z.acceleration;can.ambient.air.temperature;can.engine.coolant.temperature;can.engine.load.level;can.engine.rpm;can.throttle.pedal.level;can.short.fuel.trim;can.maf.air.flow.rate;can.vehicle.speed
27/10/2022 09:48:31;27/10/2022 09:50:59;359633107827987;51.085787;71.41479;0;0;0;TRUE;0.193;0.049;-1.989;17;23;52;1029;0;0;6.31;0
27/10/2022 09:48:57;27/10/2022 09:50:59;359633107827987;51.085787;71.41479;0;0;0;FALSE;0.157;0.073;-2.021;17;28;46;1002;0;-2;5.25;3
27/10/2022 09:49:03;27/10/2022 09:50:59;359633107827987;51.085787;71.41479;0;0;0;TRUE;0.235;0.229;-2.114;17;29;57;1626;0;-3;9.95;9
27/10/2022 09:50:03;27/10/2022 09:50:59;359633107827987;51.085787;71.41479;0;0;0;TRUE;0.259;0.152;-2.168;17;41;38;1313;0;-7;5.27;19
27/10/2022 09:52:31;27/10/2022 09:52:34;359633107827987;51.090658;71.420568;367;1;335;TRUE;0.194;0.081;-1.992;13;64;31;857;0;-3;2.99;0
27/10/2022 09:53:03;27/10/2022 09:53:06;359633107827987;51.09069;71.420602;344;0;335;FALSE;0.17;0.067;-2.006;13;66;43;823;0;0;4.03;0
27/10/2022 09:53:06;27/10/2022 09:53:07;359633107827987;51.09069;71.420602;344;0;335;FALSE;0.189;0.074;-1.982;13;67;0;0;0;0;0;0
27/10/2022 09:54:38;27/10/2022 09:54:41;359633107827987;51.09069;71.420602;345;0;335;FALSE;0.186;0.072;-1.996;17;67;35;843;0;0;3.22;0
27/10/2022 09:55:20;27/10/2022 09:55:25;359633107827987;51.090743;71.420587;331;18;339;TRUE;0.19;0.166;-2.161;13;67;66;1786;0;3;19.01;26
27/10/2022 09:55:21;27/10/2022 09:55:25;359633107827987;51.090743;71.420587;331;18;339;TRUE;0.19;0.166;-2.161;13;67;66;1786;0;3;19.01;26
27/10/2022 09:55:22;27/10/2022 09:55:25;359633107827987;51.090882;71.420472;331;29;337;TRUE;0.09;0.194;-2.13;11;66;46;1709;0;-5;11.43;34
27/10/2022 09:55:26;27/10/2022 09:55:28;359633107827987;51.091292;71.420172;331;40;338;TRUE;0.148;0.119;-2.153;11;66;46;1896;0;1;10.21;40
27/10/2022 09:55:34;27/10/2022 09:55:36;359633107827987;51.092088;71.419712;332;30;346;TRUE;0.179;0.068;-2.18;11;69;38;2043;0;0;9.37;42
27/10/2022 09:55:38;27/10/2022 09:55:40;359633107827987;51.092452;71.419568;331;43;349;TRUE;0.16;-0.191;-2.151;11;70;36;2073;0;0;9.35;43
27/10/2022 09:55:43;27/10/2022 09:55:47;359633107827987;51.092993;71.419525;329;42;1;TRUE;0.295;0.422;-2.182;10;71;21;1888;0;0;4.14;42
27/10/2022 09:55:49;27/10/2022 09:55:51;359633107827987;51.093628;71.419627;325;44;11;TRUE;0.259;0.183;-2.204;10;72;16;1868;0;-5;3.62;40
27/10/2022 09:55:56;27/10/2022 09:55:58;359633107827987;51.094383;71.419907;318;45;15;TRUE;0.176;0.136;-2.092;10;73;39;2013;0;4;9.23;42
